--- /tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/rhino/Token.java	2018-12-01 10:04:39.136213851 -0500
+++ /tmp/Arja_Defects4J_Closure_3/patches_ft34/Patch_1292/patched/tmp/Arja_Defects4J_Closure_3/src/com/google/javascript/rhino/Token.java	2018-12-01 10:26:07.780850127 -0500
@@ -226,7 +226,213 @@
           case INSTANCEOF:      return "INSTANCEOF";
           case ARRAYLIT:        return "ARRAYLIT";
           case OBJECTLIT:       return "OBJECTLIT";
-          case TRY:             return "TRY";
+          case TRY:             {
+				switch (token) {
+				case ERROR:
+					return "ERROR";
+				case RETURN:
+					return "RETURN";
+				case BITOR:
+					return "BITOR";
+				case BITXOR:
+					return "BITXOR";
+				case BITAND:
+					return "BITAND";
+				case EQ:
+					return "EQ";
+				case NE:
+					return "NE";
+				case LT:
+					return "LT";
+				case LE:
+					return "LE";
+				case GT:
+					return "GT";
+				case GE:
+					return "GE";
+				case LSH:
+					return "LSH";
+				case RSH:
+					return "RSH";
+				case URSH:
+					return "URSH";
+				case ADD:
+					return "ADD";
+				case SUB:
+					return "SUB";
+				case MUL:
+					return "MUL";
+				case DIV:
+					return "DIV";
+				case MOD:
+					return "MOD";
+				case NOT:
+					return "NOT";
+				case BITNOT:
+					return "BITNOT";
+				case POS:
+					return "POS";
+				case NEG:
+					return "NEG";
+				case NEW:
+					return "NEW";
+				case DELPROP:
+					return "DELPROP";
+				case TYPEOF:
+					return "TYPEOF";
+				case GETPROP:
+					return "GETPROP";
+				case GETELEM:
+					return "GETELEM";
+				case CALL:
+					return "CALL";
+				case NAME:
+					return "NAME";
+				case LABEL_NAME:
+					return "LABEL_NAME";
+				case NUMBER:
+					return "NUMBER";
+				case STRING:
+					return "STRING";
+				case STRING_KEY:
+					return "STRING_KEY";
+				case NULL:
+					return "NULL";
+				case THIS:
+					return "THIS";
+				case FALSE:
+					return "FALSE";
+				case TRUE:
+					return "TRUE";
+				case SHEQ:
+					return "SHEQ";
+				case SHNE:
+					return "SHNE";
+				case REGEXP:
+					return "REGEXP";
+				case THROW:
+					return "THROW";
+				case IN:
+					return "IN";
+				case INSTANCEOF:
+					return "INSTANCEOF";
+				case ARRAYLIT:
+					return "ARRAYLIT";
+				case OBJECTLIT:
+					return "OBJECTLIT";
+				case TRY:
+					return "TRY";
